Code;NameRu;NameEn;NameUa;CountryCode;CityCode;Popularity;Latitude;Longitude
AAE;Ле-Салин;Les Salines;Ле-Салін;DZ;AAE;0;36.8217;7.81
AAL;Альборг;Aalborg;Альборг;DK;AAL;0;57.0931;9.85
AAM;Mala Mala;Mala Mala;Mala Mala;ZA;AAM;0;-24.8;31.5333
AAN;Аль-Аин;Al Ain;Аль-Аін;AE;AAN;0;24.25;55.75
AAQ;Анапа;Anapa;Анапа;RU;AAQ;2;44.9;37.3167
AAR;Тирструп;Tirstrup;Тірструп;DK;AAR;4;56.3103;10.6181
AAY;Эль-Гайда;Al Ghaydah;Ель-Гайда;YE;AAY;0;16.2;52.1833
ABA;Абакан;Abakan;Абакан;RU;ABA;0;53.7167;91.5
ABC;Los Llanos;Los Llanos;Los Llanos;ES;ABC;0;38.9483;-1.86333
ABD;Abadan;Abadan;Abadan;IR;ABD;0;30.3667;48.2333
ABE;Lehigh Valley;Lehigh Valley;Lehigh Valley;US;ABE;0;40.6547;-75.4383
ABI;Абилин;Abilene;Абілін;US;ABI;0;32.4094;-99.6797
ABJ;Felix Houphouet Boigny;Felix Houphouet Boigny;Felix Houphouet Boigny;CI;ABJ;3;5.25639;-3.92694
ABL;Ambler;Ambler;Ambler;US;ABL;0;67.0875;-157.846
ABM;Бамага;Bamaga;Бамага;AU;ABM;0;-10.8667;142.4
ABQ;Альбукерке;Albuquerque;Альбукерке;US;ABQ;0;35.0422;-106.605
ABR;Абердин;Aberdeen;Абердін;US;ABR;0;45.4525;-98.4261
ABS;Абу-Симбел;Abu Simbel;Абу-Сімбел;EG;ABS;0;22.3722;31.6153
ABT;Эль-Акик;Al Aqiq;Эль-Акік;SA;ABT;0;20.2856;41.6333
ABV;Абуджа;Abuja;Абуджа;NG;ABV;0;9;7.26667
ABX;Олбери;Albury;Олбері;AU;ABX;0;-36.0683;146.977
ABY;Догерти окр.;Dougherty Cty;Догерті окр.;US;ABY;0;31.5322;-84.1961
ABZ;Dyce;Dyce;Dyce;GB;ABZ;16;57.2042;-2.19806
ACA;Альварес;Alvarez;Альварес;MX;ACA;0;16.7556;-99.7669
ACC;Котока ;Kotoka;Котока ;GH;ACC;0;5.59528;-0.170833
ACE;Ланцарот;Lanzarote;Ланцарот;ES;ACE;292;28.9375;-13.6036
ACH;Альтенрейн;Altenrhein;Альтенрейн;CH;ACH;0;47.4833;9.56667
ACI;The Blaye;The Blaye;The Blaye;GB;ACI;0;49.7069;-2.21528
ACK;Nantucket Memorial;Nantucket Memorial;Nantucket Memorial;US;ACK;0;41.2567;-70.0597
ACT;Madison Cooper;Madison Cooper;Madison Cooper;US;ACT;0;31.6078;-97.2303
ACV;Arcata Eureka;Arcata Eureka;Arcata Eureka;US;ACV;0;40.9792;-124.108
ACX;Синъи;Xingyi;Сінї;CN;ACX;0;25.0856;104.959
ACY;Pomona Field;Pomona Field;Pomona Field;US;AIY;0;39.45;-74.5833
ADA;Адана;Adana;Адана;TR;ADA;0;36.9836;35.2808
ADB;Аднан Мендерес;Adnan Menderes;Аднан Мендерес;TR;IZM;0;38.2833;27.15
ADD;Bole;Bole;Bole;ET;ADD;0;8.97778;38.7981
ADE;Йемен;Yemen;Йємен;YE;ADE;0;12.8278;45.0306
ADJ;Civil Marka;Civil Marka;Civil Marka;JO;AMM;0;31.95;35.9833
ADK;Adak Island Ns;Adak Island Ns;Adak Island Ns;US;ADK;5;51.8828;-176.645
ADL;Аделаида;Adelaide;Аделаїда;AU;ADL;12;-34.9483;138.535
ADQ;Кодьяк;Kodiak;Код'як;US;ADQ;0;57.7542;-152.483
ADS;Аддисон;Addison;Аддисон;US;DFW;0;32.7833;-97.3
ADU;Ardabil;Ardabil;Ardabil;IR;ADU;0;38.25;48.3
