Code;Popularity;NameRu;NameEn;NameUa;CountryCode;Latitude;Longitude;GMT
AAA;0;Анаа;Anaa;Анаа;PF;-17.05;-145.417;
AAB;0;Аррабери;Arrabury;Аррабері;AU;-26.7;141.042;
AAE;0;Аннаба;Annaba;Аннаба;DZ;36.9;7.76667;+1:00
AAF;0;Апалачикола;Apalachicola;Апалачікола;US;29.7258;-84.9832;-5:00
AAG;0;Арапоти;Arapoti;Арапоті;BR;-24.1578;-49.8267;-2:00
AAH;4;Ахен;Aachen;Ахен;DE;50.7766;6.08342;+1:00
AAK;0;Аранука;Aranuka;Аранука;KI;-1.46667;175.05;
AAL;0;Альборг;Aalborg;Альборг;DK;57.05;9.93333;+1:00
AAM;0;Мала Мала;Mala Mala;Мала Мала;ZA;-24.8;31.5333;+2:00
AAN;0;Аль-Айн;Al Ain;Аль-Айн;AE;24.1917;55.7606;+4:00
AAO;0;Анако;Anaco;Анако;VE;9.43889;-64.4728;
AAQ;4;Анапа;Anapa;Анапа;RU;44.89;37.32;+4:00
AAR;8;Орхус;Aarhus;Орхус;DK;56.1567;10.2108;+1:00
AAT;0;Алтай;Altay;Алтай;CN;47.8667;88.1167;
AAX;0;Аракса;Araxa;Аракса;BR;-19.5933;-46.9406;
AAY;0;Эль-Гайда;Al Ghaydah;Ель-Гайда;YE;16.2167;52.1833;+3:00
ABA;0;Абакан;Abakan;Абакан;RU;53.71;91.42;+8:00
ABC;0;Альбасете;Albacete;Альбасете;ES;38.9833;-1.85;+1:00
ABD;0;Абадан;Abadan;Абадан;IR;30.3525;48.2958;+3:30
ABE;0;Аллентаун;Allentown;Аллентаун;US;40.6084;-75.4902;-5:00
ABF;0;Абайянг;Abaiang;Абайянг;KI;1.67083;173.304;
ABH;0;Альфа;Alpha;Альфа;AU;-23.65;146.633;
ABI;0;Эбилин;Abilene;Ебілін;US;32.4487;-99.7331;-6:00
ABJ;6;Абиджан;Abidjan;Абіджан;CI;5.34111;-4.02806;+0:00
ABL;0;Амбер;Ambler;Амбер;US;40.1546;-75.2216;-9:00
ABM;0;Бамага;Bamaga;Бамага;AU;-10.892;142.389;+10:00
ABQ;0;Альбукерке;Albuquerque;Альбукерке;US;35.0845;-106.651;-7:00
ABR;0;Абердин;Aberdeen;Абердін;US;45.4525;-98.4261;-6:00
ABS;0;Абу-Симбел;Abu Simbel;Абу-Сімбел;EG;22.3667;31.6333;+2:00
ABT;0;Эль-Баха;Al Baha;Ель-Баха;SA;20.2856;41.6333;+3:00
ABU;0;Атамбуа;Atambua;Атамбуа;ID;-9.10611;124.893;
ABV;0;Абуджа;Abuja;Абуджа;NG;9.08333;7.53333;+1:00
ABX;0;Олбэри;Albury;Олбері;AU;-36.0833;146.917;+11:00
ABY;0;Олбани;Albany;Олбані;US;31.5322;-84.1961;-5:00
